"variable"	"Estimate"	"Std..Error"	"z.value"	"Pr...z.."	"Feature"
"1"	"eicosatrienoate"	-6.02580823682366	9.46706771050432	-0.636502074463632	0.524449229298013	"C18n_QI36"
"2"	"docosapentaenoate"	-2.9155232794795	6.42005835429184	-0.454127224175534	0.649737259655878	"HILn_QI48"
"3"	"4-hydroxystyrene"	-1.42095275302775	7.84468950935663	-0.181135627016587	0.856261120790395	"C18n_QI77"
"4"	"taurine"	-0.869556369781175	11.0918542850431	-0.0783959424127788	0.937513101084766	"HILn_QI116"
"5"	"12.13-diHOME"	-0.014919644076539	4.22946526422421	-0.00352754855388926	0.997185429308602	"C18n_QI06"
"6"	"arachidonate"	0.0219071823005648	9.71821942064476	0.00225423828711118	0.998201379597652	"C18n_QI35"
"7"	"eicosapentaenoate"	0.0683568287020822	5.55256172793562	0.0123108633548675	0.990177600309113	"C18n_QI34"
"8"	"C24:1 Ceramide (d18:1)"	0.393370364092945	2.997393985904	0.131237456918533	0.895587465853495	"C8p_QI53"
"9"	"docosahexaenoate"	1.27339443745762	8.07204208066228	0.157753691659786	0.874650890325121	"C18n_QI41"
"10"	"NH4_C18:2 CE"	1.66371308764586	3.75999995004454	0.442476890890956	0.658144149160935	"C8p_QI71"
"11"	"taurine"	1.83183492536957	11.0101718221558	0.166376597473562	0.867860589774396	"HILp_QI868"
"12"	"adrenate"	2.40153927371297	7.86411028342113	0.305379653535101	0.760077016276831	"C18n_QI43"
"13"	"phenyllactate"	3.74104039533843	9.11465128185156	0.410442514985441	0.681481364236863	"C18n_QI85"
"14"	"docosapentaenoate"	5.58857821180569	10.2271027231024	0.54644784188795	0.584758131552853	"C18n_QI42"
