"variable"	"Estimate"	"Std..Error"	"z.value"	"Pr...z.."	"Feature"
"1"	"Megasphaera_sp_DISK_18"	-1.37490423606007	0.923324957905642	-1.48907946686368	0.136466444059089	"Megasphaera_sp_DISK_18"
"2"	"Parabacteroides_goldsteinii"	-0.359422087767244	0.524624032680356	-0.685104122910498	0.493278218765704	"Parabacteroides_goldsteinii"
"3"	"Methanobrevibacter_smithii"	-0.169010831325819	0.743130683327679	-0.227430834330514	0.820088746082101	"Methanobrevibacter_smithii"
"4"	"Roseburia_hominis"	-0.135236766951885	0.244916000936323	-0.552176119301598	0.580827694117802	"Roseburia_hominis"
"5"	"Gemmiger_formicilis"	-0.130257307364331	0.436400423051944	-0.298481166570333	0.765335948286103	"Gemmiger_formicilis"
"6"	"Akkermansia_muciniphila"	-0.126382762824168	0.277042755741772	-0.456185047992981	0.648256916417843	"Akkermansia_muciniphila"
"7"	"Alistipes_putredinis"	-0.124066544292352	0.46742847309914	-0.265423591912935	0.790683163997598	"Alistipes_putredinis"
"8"	"Oscillibacter_sp_CAG_241"	-0.107677673396342	0.445600843282714	-0.241646026975819	0.809054454388209	"Oscillibacter_sp_CAG_241"
"9"	"Eubacterium_siraeum"	-0.0832859804304386	0.2678068081826	-0.310992767493989	0.755806119908661	"Eubacterium_siraeum"
"10"	"Alistipes_shahii"	-0.0615836276741696	0.468844051573778	-0.131352050788424	0.895496817860017	"Alistipes_shahii"
"11"	"Bacteroides_faecis_CAG_32"	-0.050945822650244	0.534788705436466	-0.0952634603766823	0.924105565015919	"Bacteroides_faecis_CAG_32"
"12"	"Ruminococcus_bromii"	-0.0458036282095359	0.35688525071694	-0.1283427323419	0.897877749192317	"Ruminococcus_bromii"
"13"	"Eubacterium_ventriosum"	-0.044344905575121	0.373484577268198	-0.118732896280419	0.905486973424584	"Eubacterium_ventriosum"
"14"	"Firmicutes_bacterium_CAG_83"	0.0588312305201143	0.314865233169052	0.186845749617989	0.851781575503222	"Firmicutes_bacterium_CAG_83"
