"variable"	"Estimate"	"Std..Error"	"z.value"	"Pr...z.."	"Feature"
"1"	"ANAEROFRUCAT PWY: homolactic fermentation"	-0.123589341449681	0.238065297517348	-0.51914051623032	0.603662756223818	"ANAEROFRUCAT PWY: homolactic fermentation"
"2"	"PWY 7560: methylerythritol phosphate pathway II"	-0.120672576254845	0.703491953622017	-0.171533697910185	0.863804135987076	"PWY 7560: methylerythritol phosphate pathway II"
"3"	"PWY 7279: aerobic respiration II cytochrome c yeast"	-0.11097842167085	0.309468206460695	-0.358610090968892	0.719886796768803	"PWY 7279: aerobic respiration II cytochrome c yeast"
"4"	"PWY 7383: anaerobic energy metabolism invertebrates  cytosol"	-0.1102262610381	0.311200844923206	-0.354196535248162	0.723191599979007	"PWY 7383: anaerobic energy metabolism invertebrates  cytosol"
"5"	"PWY 6545: pyrimidine deoxyribonucleotides de novo biosynthesis III"	-0.0987676727273124	0.188141198228508	-0.524965683525378	0.599607046816818	"PWY 6545: pyrimidine deoxyribonucleotides de novo biosynthesis III"
"6"	"PWY66 399: gluconeogenesis III"	-0.0938498410063367	0.298083335584917	-0.314844306281593	0.752879869621501	"PWY66 399: gluconeogenesis III"
"7"	"PWY 7234: inosine 5' phosphate biosynthesis III"	-0.0869012996865459	0.221354591745625	-0.392588647026626	0.69462332605502	"PWY 7234: inosine 5' phosphate biosynthesis III"
"8"	"PWY0 845: superpathway of pyridoxal 5' phosphate biosynthesis and salvage"	-0.0545628759277755	0.480728191828743	-0.113500470443001	0.909633790132977	"PWY0 845: superpathway of pyridoxal 5' phosphate biosynthesis and salvage"
"9"	"NAGLIPASYN PWY: lipid IVA biosynthesis"	-0.0283767300034921	0.240997310055084	-0.11774708189484	0.906268060274301	"NAGLIPASYN PWY: lipid IVA biosynthesis"
"10"	"PWY 5104: L isoleucine biosynthesis IV"	-0.0125797364371332	0.233697049791071	-0.0538292479446347	0.95707120680465	"PWY 5104: L isoleucine biosynthesis IV"
"11"	"NONOXIPENT PWY: pentose phosphate pathway non oxidative branch"	0.0213388194131571	0.32918423240355	0.0648233339043943	0.948314662751355	"NONOXIPENT PWY: pentose phosphate pathway non oxidative branch"
"12"	"PWY 3781: aerobic respiration I cytochrome c"	0.03145612793939	0.330421333785852	0.0952000513374141	0.924155929212131	"PWY 3781: aerobic respiration I cytochrome c"
"13"	"PWY 7196: superpathway of pyrimidine ribonucleosides salvage"	0.0361334554180953	0.216483707514273	0.16691073814741	0.867440283858121	"PWY 7196: superpathway of pyrimidine ribonucleosides salvage"
"14"	"PWY 5188: tetrapyrrole biosynthesis I from glutamate"	0.036639448132829	0.23683384096195	0.154705290358887	0.877053659108726	"PWY 5188: tetrapyrrole biosynthesis I from glutamate"
"15"	"PWY 7282: 4 amino 2 methyl 5 phosphomethylpyrimidine biosynthesis yeast"	0.0393572001869772	0.241050166099667	0.163273897810567	0.870302784633901	"PWY 7282: 4 amino 2 methyl 5 phosphomethylpyrimidine biosynthesis yeast"
"16"	"PWY 6588: pyruvate fermentation to acetone"	0.0576497584004509	0.238032939498853	0.242192355905972	0.808631117868095	"PWY 6588: pyruvate fermentation to acetone"
"17"	"PYRIDOXSYN PWY: pyridoxal 5' phosphate biosynthesis I"	0.0618297082470267	0.439812868559773	0.140581853481224	0.888200284676741	"PYRIDOXSYN PWY: pyridoxal 5' phosphate biosynthesis I"
"18"	"PWY 6891: thiazole biosynthesis II Bacillus"	0.0638333352966171	0.499640658824225	0.127758488364082	0.898340102262219	"PWY 6891: thiazole biosynthesis II Bacillus"
"19"	"P 1CMET2 PWY: N10 formyl tetrahydrofolate biosynthesis"	0.0724587635900407	0.309223677385178	0.234324758707866	0.814732866242316	"P 1CMET2 PWY: N10 formyl tetrahydrofolate biosynthesis"
"20"	"PWY 6471: peptidoglycan biosynthesis IV Enterococcus faecium"	0.0960514953408089	0.285551051977604	0.336372409331352	0.736590052715864	"PWY 6471: peptidoglycan biosynthesis IV Enterococcus faecium"
"21"	"PWY 2941: L lysine biosynthesis II"	0.105699417162145	0.211277458763211	0.500287242098116	0.616872836011899	"PWY 2941: L lysine biosynthesis II"
"22"	"PENTOSE P PWY: pentose phosphate pathway"	0.149712939896688	0.305481484352123	0.490088426191215	0.624071327629786	"PENTOSE P PWY: pentose phosphate pathway"
"23"	"NONMEVIPP PWY: methylerythritol phosphate pathway I"	0.249029866076498	0.60406428404876	0.412257226014701	0.68015089669208	"NONMEVIPP PWY: methylerythritol phosphate pathway I"
